region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
45,S_Orbital-1-R,4.8,25.8462,61.0,0.010513900262136206,False
46,S_Orbital-2-L,3.35,14.3846,65.0,0.01622123000182674,False
47,S_Orbital-2-R,4.75,23.5385,59.5,0.008524329963914258,False
48,S_Olfactory-1-L,1.9,6.1538,121.5,0.7425699907685348,False
49,S_Olfactory-1-R,3.15,11.5385,61.0,0.008954092997253766,False
50,S_Precentral-1-L,18.1,24.8462,129.0,0.9852887531608409,False
51,S_Precentral-1-R,18.85,18.7692,144.5,0.6055626779830867,False
52,S_Precentral-2-L,23.0,26.4615,111.0,0.4943649596434879,False
53,S_Precentral-2-R,17.5,10.9231,171.0,0.13490136844011966,False
54,S_Precentral-3-L,10.55,18.0769,105.0,0.3544327354872956,False
55,S_Precentral-3-R,4.5,10.0769,112.0,0.4277226078639885,False
56,S_Precentral-4-L,29.45,37.3077,102.0,0.31059827507701765,False
57,S_Precentral-4-R,52.55,38.4615,165.5,0.19687570589293224,False
58,S_Precentral-5-L,5.4,16.6923,129.0,0.9845494489389633,False
59,S_Precentral-5-R,12.0,12.5385,128.5,0.9701728960087896,False
60,S_Precentral-6-L,13.0,20.3077,93.5,0.18128608454654127,False
61,S_Precentral-6-R,14.15,13.3846,159.0,0.2809191653218711,False
62,S_Rolando-1-L,27.35,31.4615,121.0,0.7540502636886799,False
63,S_Rolando-1-R,28.0,32.0769,111.0,0.49519690479493716,False
64,S_Rolando-2-L,45.75,22.9231,200.0,0.010402830905141082,False
65,S_Rolando-2-R,35.4,19.0769,185.5,0.0425149292403669,False
66,S_Rolando-3-L,48.25,24.8462,193.0,0.021271934447036997,False
67,S_Rolando-3-R,43.6,41.3077,139.5,0.7400490634765421,False
68,S_Rolando-4-L,62.35,38.6154,198.5,0.012217552977273824,False
69,S_Rolando-4-R,45.85,40.8462,147.0,0.5432049794004195,False
70,S_Postcentral-1-L,14.65,12.2308,152.5,0.41577912503584813,False
71,S_Postcentral-1-R,21.1,11.0769,171.5,0.1296672479109289,False
72,S_Postcentral-2-L,42.0,34.0769,168.5,0.1608278764325174,False
73,S_Postcentral-2-R,45.55,38.3077,160.5,0.26882337375729415,False
74,S_Postcentral-3-L,31.6,29.3846,146.0,0.5678166598982579,False
75,S_Postcentral-3-R,15.2,17.0,139.5,0.7397551311305663,False
76,G_Parietal_Sup-1-L,9.05,8.0769,136.5,0.8118881014384821,False
77,G_Parietal_Sup-1-R,10.0,10.0769,147.0,0.53886459037552,False
78,G_Parietal_Sup-2-L,17.85,24.4615,117.0,0.6444308525269893,False
79,G_Parietal_Sup-2-R,25.8,17.2308,159.5,0.2843001451663463,False
80,G_Parietal_Sup-3-L,23.6,26.3846,124.0,0.8392964434150181,False
81,G_Parietal_Sup-3-R,28.3,24.0769,150.5,0.4596559079581958,False
82,G_Parietal_Sup-4-L,19.7,14.5385,177.5,0.08258678068375341,False
83,G_Parietal_Sup-4-R,30.3,20.1538,172.0,0.12575302941522137,False
84,G_Parietal_Sup-5-L,35.95,31.0769,146.5,0.555095265446846,False
85,G_Parietal_Sup-5-R,32.8,28.6923,159.5,0.2849055579577049,False
86,G_Supramarginal-1-L,20.35,12.7692,201.0,0.009243047094716374,False
87,G_Supramarginal-1-R,28.2,15.6923,196.0,0.015722760235564483,False
88,G_SupraMarginal-2-L,19.25,13.9231,178.0,0.07944846374319497,False
89,G_SupraMarginal-2-R,28.75,17.0769,186.0,0.04065258325532185,False
90,G_Supramarginal-3-L,21.1,18.0,156.5,0.3373658496065518,False
91,G_Supramarginal-3-R,22.05,22.3077,133.0,0.9265375405384202,False
92,G_Supramarginal-4-L,11.25,19.9231,99.5,0.2681017885028084,False
93,G_Supramarginal-4-R,15.35,17.8462,120.5,0.7397971824831658,False
94,G_SupraMarginal-5-L,7.65,15.0,134.0,0.8957710298465521,False
95,G_SupraMarginal-5-R,8.7,16.0769,133.0,0.9250979418738309,False
96,G_SupraMarginal-6-L,7.6,12.6923,122.5,0.7940063946360202,False
97,G_SupraMarginal-6-R,9.5,17.0,79.0,0.06198664517230483,False
98,G_SupraMarginal-7-L,11.95,18.3846,107.5,0.4159361372220779,False
99,G_SupraMarginal-7-R,9.75,12.7692,133.5,0.9115674690064783,False
100,G_Angular-1-L,19.25,29.8462,78.5,0.06002551577508523,False
101,G_Angular-1-R,19.65,30.6154,82.0,0.07987731595353949,False
102,G_Angular-2-L,19.8,33.4615,82.0,0.07987731595353949,False
103,G_Angular-2-R,21.65,30.6923,106.5,0.3962544779383811,False
104,G_Angular-3-L,14.3,18.4615,99.5,0.2680616437668202,False
105,G_Angular-3-R,16.85,23.0769,118.0,0.6712122926437215,False
106,G_Parietal_Inf-1-L,19.45,29.3846,96.5,0.2235401307692858,False
107,G_Parietal_Inf-1-R,15.5,29.3846,78.0,0.057370739875716725,False
108,S_Intraparietal-1-L,28.1,30.4615,137.5,0.7963457726009473,False
109,S_Intraparietal-1-R,37.65,36.0769,131.5,0.9705923477808427,False
110,S_Intraparietal-2-L,28.8,31.0769,125.5,0.8826995543091121,False
111,S_Intraparietal-2-R,23.95,39.3077,77.5,0.05489182008325229,False
112,S_Intraparietal-3-L,44.4,34.3846,166.5,0.18453134004944305,False
113,S_Intraparietal-3-R,37.75,48.1538,94.0,0.19048051461127924,False
114,S_Intraoccipital-1-L,12.05,6.1538,160.0,0.2614638560944341,False
115,S_Intraoccipital-1-R,15.05,12.3077,160.5,0.26531772654006036,False
116,G_Occipital_Pole-1-L,12.3,16.0,131.5,0.9705034237298331,False
117,G_Occipital_Pole-1-R,20.15,25.1538,117.0,0.6443474953750916,False
118,G_Occipital_Lat-1-L,17.95,19.9231,127.0,0.9264945707123315,False
119,G_Occipital_Lat-1-R,28.45,19.6154,167.5,0.17220233925738304,False
120,G_Occipital_Lat-2-L,21.4,18.0,134.5,0.8826800432968112,False
121,G_Occipital_Lat-2-R,34.75,33.3077,135.0,0.8681637050688051,False
122,G_Occipital_Lat-3-L,20.2,27.5385,103.5,0.33768954791286676,False
123,G_Occipital_Lat-3-R,16.45,19.3077,119.5,0.7119480252203993,False
124,G_Occipital_Lat-4-L,22.8,19.0769,163.0,0.23039995204129882,False
125,G_Occipital_Lat-4-R,20.5,19.3077,135.5,0.853611665197287,False
126,G_Occipital_Lat-5-L,62.4,50.1538,174.0,0.10888134493703905,False
127,G_Occipital_Lat-5-R,53.7,49.1538,136.0,0.8393229661574931,False
128,G_Occipital_Sup-1-L,36.05,18.0769,199.0,0.011484343179845879,False
129,G_Occipital_Sup-1-R,33.7,15.4615,198.5,0.012152503528470053,False
130,G_Occipital_Sup-2-L,30.85,15.0,196.0,0.015722760235564483,False
131,G_Occipital_Sup-2-R,30.05,12.2308,212.0,0.002616199187069958,True
132,G_Occipital_Mid-1-L,41.75,37.2308,145.5,0.5803083509938106,False
133,G_Occipital_Mid-1-R,42.7,30.3077,168.0,0.16690406202527797,False
134,G_Occipital_Mid-2-L,31.2,19.3077,185.5,0.0425149292403669,False
135,G_Occipital_Mid-2-R,39.1,30.2308,164.0,0.21671883202192777,False
136,G_Occipital_Mid-3-L,16.5,9.0769,154.0,0.38366708252329673,False
137,G_Occipital_Mid-3-R,14.25,9.2308,168.5,0.15545980872416623,False
138,G_Occipital_Mid-4-L,13.15,19.8462,104.0,0.3467390411299225,False
139,G_Occipital_Mid-4-R,16.9,19.8462,135.0,0.8681089683607184,False
140,G_Occipital_Inf-1-L,27.0,25.8462,156.0,0.3471024783976686,False
